Quarry,Column1,"IDOT
Producer
Number","Address Where
Stockpile is Located","City of
Stockpile","Ledge Footage
Location",%Mg,CCE,% Pass #8,"% Pass
#30","% Pass
#60","1 Year
Correction
Factor","4 Year
Correction
Factor",> #8,#8 >lime< #30,#30> lime < #60,<#60,Total Finess Eff. Value,RNV,One Year App Rate,Rec (t/a) based_soil_test,Recommend Amount,Price (t/a),Cost
"RiverStone Group Inc ?
LeClaire Quarry",,52202?10,400 Territorial Road,LeClaire,Various Ledges,8.72,105.94,64.4,37.7,25.6,1.13,1.16,0.356,0.267,0.121,0.256,38.77,41.07,1.2,1,1.2,22,26.4
"RiverStone Group Inc ?
McCausland Quarry",,52202?16,18965 300th Street,Long Grove,Various Ledges,7.31,102.9,67.3,40.6,30.5,1.06,1.14,0.327,0.267,0.101,0.305,42.525,43.76,1.09,1,1.09,22,23.98
"RiverStone Group Inc ?
Midway Quarry",,51612?23,"2721 248th Street
North",Hillsdale,Various Ledges,5.7,98.8,86.7,45.3,24.3,1.07,1.04,0.133,0.414,0.21,0.243,43.745,43.22,1.06,1,1.06,22,23.32
"RiverStone Group Inc ? Allied
Stone",,51612?31,601 US Rt. 67 North,Milan,"Various Ledges
(Dolomite)",11.75,101.96,80.7,29.9,13.4,1.39,1.19,0.193,0.508,0.165,0.134,32.775,33.42,1.41,1,1.41,22,31.02
"RiverStone Group Inc ? Allied
Stone",,51612?31,601 US Rt. 67 North,Milan,"Various Ledges
(Limestone)",3.96,80.99,72.6,42.1,29.2,1.33,1.39,0.274,0.305,0.129,0.292,43.12,34.92,1.07,1,1.07,22,23.54
"RiverStone Group Inc ? New
Liberty Quarry",,52202?21,"2700 New Liberty
Road",Stocktom,Various Ledges,11.65,97.71,70.5,41.1,32,1.08,1.18,0.295,0.294,0.091,0.32,43.905,42.9,1.06,1,1.06,22,23.32
"RiverStone Group Inc ? Troy
Grove",,50992?01,539 Rt. 52,Utica,Various Ledges,11.52,93.28,87,52.2,37.6,0.95,1.04,0.13,0.348,0.146,0.376,52.51,48.98,0.88,1,0.88,22,19.36
"RiverStone Group Inc ? Valley
Quarry",,51872?01,772 175th Street,Augustine,60?70' Ledge,2.63,84,90.2,63.7,47.1,0.9,1.04,0.098,0.265,0.166,0.471,61.19,51.4,0.76,1,0.76,22,16.72
"Riverstone Group, Inc. ?
Vermillion Quarry",,50992?04,2273 N IL RT 178,,Various ledges,6.02,97.71,64.9,33.8,23.6,1.29,1.3,0.351,0.311,0.102,0.236,36.675,35.84,1.26,1,1.26,22,27.72
"Roger R?M + Materials?Rogers
@ Mulford",,52012?31,5510 S Mulford Rd,Rockford,"Ledge 002 (12.2?
26.5m)",12.56,103.71,57.8,39.1,25,1.18,1.21,0.422,0.187,0.141,0.25,37.9,39.31,1.22,1,1.22,22,26.84
